category,sku,product,description,price,breadcrumb,product_url,money_back,rating,total_reviews
Bestsellers,SKU:38815,ResMed AirMini™ Filters (2 Pack),"Block fine dust from entering your AirMini device with these disposable filters. Pack of two.
Keep your AirMini device clean by using these filters to block fine materials and larger particles from entering your machine.Sold as a pack of 2 filters. These standard air filters are only suitable for use with the ResMed AirMini device.These filters are disposable and aren't suitable for washing.",5.9,Home > Bestsellers > ResMed AirMini™ Filters (2 Pack),https://shop.resmed.com.au/resmed-airmini-filters-2-pack/,False,4.6,5
Bestsellers,SKU:BND275,AirMini Total Care Subscription,"Trial a ResMed Automatic CPAP via our online shop. Order your CPAP in minutes and we will deliver straight to your preferred location, for free. Our support team is available via live chat or phone if you need any help ordering.
",0,Home > Bestsellers > AirMini Total Care Subscription,https://shop.resmed.com.au/airmini-total-care-subscription/,False,0,0
Bestsellers,SKU:BND273,AirSense™ 10 Total Care Subscription,"
",0,Home > Bestsellers > AirSense™ 10 Total Care Subscription,https://shop.resmed.com.au/airsense-10-total-care-subscription/,False,0,0
Bestsellers,,ResMed AirFit™ F20 Full Face Mask,"Designed to comfortably fit various face shapes, the AirFit F20 full face mask aims for a secure fit and comfortable seal while accommodating movement.
Key FeaturesSize OptionsAirFit F20 GuidesALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",229,Home > Sleep Apnea > CPAP Masks > Full Face Masks > ResMed AirFit™ F20 Full Face Mask,https://shop.resmed.com.au/resmed-airfit-f20-full-face-mask/,True,4.1,52
Bestsellers,SKU:7078979,onesleeptest,"The ResMed onesleeptest is a home sleep test.^ It consists of a small disposable NightOwl® sensor that you tape to your fingertip and a NightOwl® companion app that guides you through every step of the test.
onesleeptest includes:How does onesleeptest work, and what do I need to complete the test?Note: By purchasing this home sleep test, you agree to ResMed’s  and .ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL^The onesleeptest is referred to as a level 4 sleep test. Level 4 sleep tests measure less parameters about your sleep compared with level 1, 2 and 3 sleep tests. We recommend you consult with your GP to discuss whether the onesleeptest is right for you.*ResMed Sleep Coaches are sales and customer service representatives who have received training in Sleep Health. They can give general information about Sleep Health, sleep disorders and products that may help improve your sleep. They are not qualified healthcare professionals and cannot provide medical advice. We recommend you continue to consult your GP.",149,Home > Sleep tests and trackers > Sleep Tests > onesleeptest,https://shop.resmed.com.au/one-sleep-test/,False,4.1,51
Bestsellers,SKU:BND277,Smart Care - AirTouch Mask Subscription,"Trial a ResMed Automatic CPAP via our online shop. Order your CPAP in minutes and we will deliver straight to your preferred location, for free. Our support team is available via live chat or phone if you need any help ordering.
Subscribe to our CPAP Mask Subscription below and receive a bonus cleaning kit*.Use code ""SMARTCARE"" at cart. Ends Wed, 15th Mar 2023. .",0,Home > Sleep Apnea > CPAP Masks > CPAP Mask Subscription > Smart Care - AirTouch Mask Subscription,https://shop.resmed.com.au/smart-care-airtouch/,False,0,0
Bestsellers,SKU:37457,ResMed AirSense™ 10 Autoset™ Automatic CPAP Machine,"ResMed Airsense 10 Automatic CPAP Machine automatically detects your sleep habits and changes your air pressure based on your needs.  Delivering consistent humidity for comfort throughout the night. Our 4G feature allows wireless connectivity with CPAP therapy health providers data about your sleep progress.
Detects sleep onsetAutoRamp™ with sleep onset detection starts by delivering low pressure for greater comfort. Then, after detecting that you’ve fallen asleep, it gradually increases the pressure to the prescribed level.Intuitive interfaceA simple interface enables you to just press start and go. It also provides feedback on your therapy every morning and makes it easy for you to change comfort settings.Consistent humidificationThe HumidAir™ humidifier and a ClimateLineAir™ heated air tube are designed to automatically deliver optimal temperature and humidity, for a more comfortable experience.ContraindicationsIf you suffer from any of the following pre-existing conditions please consult your doctor before using this device:It's recommended to read the  before using this device.For information about card-to-cloud devices, .ModesPressureSound pressure levelAircraft useHeight WidthDepthWeight Features / CPAP MachineAirSense 10 Elite FixedPressure CPAP MachineAirSense 10 Autoset Auto MachineAirSense 10 Autoset for HerAuto MachineAirMini Automatic CPAP MachineCPAP✓✓✓✓AutoSet ✓✓✓AutoSet for Her  ✓✓Cheyne-Stokes respiration detection✓✓✓✓Central apnea detection✓✓✓✓RERA reporting  ✓✓AutoSet algorithm with AutoSet Response ✓✓✓AutoRamp with sleep onset detection✓✓✓✓Advanced HumidAir technology✓✓✓ Enhanced Climate Control Auto✓✓✓ Waterless Humidification   ✓Expiratory Pressure Relief (EPR™)✓✓✓✓SmartStart™✓✓✓✓Aircraft use*✓✓✓✓Pressure: 4 to 20 cm H2O✓✓✓✓Sound pressure level26.6 dBA26.6 dBA26.6 dBA30dB withuncertainty of 2 dBAWeight1248g1248g1248g300gDimensions(Height x Depth x Width)116mm x 150mm x 255mm116mm x 150mm x 255mm116mm x 150mm x 255mm52mm x 84mm x 136mmMask Compatilibity**All MasksAll MasksAll MasksSelected ResMed MasksData Connectivity***Card to Cloud4G***4G***Bluetooth*What is the difference between AirSense 10 AutoSet 4G and AirSense 10 AutoSet card-to-cloud?   What is the benefit of a 4G cellular device?   What is myAir?  What is the difference between an AS10 AutoSet 4G and AS10 AutoSet for Her?  How can I tell if my device is a C2C or 4G device?  Can I just buy the 4G chip to enable wireless connectivity to my C2C device?  ",1815,Home > Sleep Apnea > CPAP Machines > Automatic Machines > ResMed AirSense™ 10 Autoset™ Automatic CPAP Machine,https://shop.resmed.com.au/resmed-airsense-10-autoset-auto-machine/,True,4.8,19
Bestsellers,SKU:BND276,Smart Care - AirFit Mask Subscription,"Trial a ResMed Automatic CPAP via our online shop. Order your CPAP in minutes and we will deliver straight to your preferred location, for free. Our support team is available via live chat or phone if you need any help ordering.
Subscribe to our CPAP Mask Subscription below and receive a bonus cleaning kit*.Use code ""SMARTCARE"" at cart. Ends Wed, 15th Mar 2023. .",0,Home > Sleep Apnea > CPAP Masks > CPAP Mask Subscription > Smart Care - AirFit Mask Subscription,https://shop.resmed.com.au/smart-care-airfit/,False,0,0
Sleep Health,,BLKBLULHT ScreenTime Computer Glasses,"Designed for those sitting in front of a computer during the day, filters 50% of blue light.
These daytime use glasses are designed for people who spend a lot of time during the day in front of screens. They feature a ClearBlue lens, to filter out artificial blue light emitted by digital devices, and other artificial light sources.These glasses filter over 50% of blue light across all of the blue light spectrum (400nm-500nm) to help alleviate digital eye strain, and sore and tired eyes from both screen time and bright LED or fluorescent lighting in the work place.",129,Home > Sleep Health > Glasses > BLKBLULHT ScreenTime Computer Glasses,https://shop.resmed.com.au/blkblulht-screentime-computer-glasses/,True,0,0
Sleep Health,,Swannies Night Glasses - Tortoise Shell,"Unisex glasses with tortoise shell frames that block blue-light at night time to help improve your sleep.
Blue light exposure at night from screens can increase your alertness at bedtime.Wear Swannies for 1-3 hours before bed and you can look forward to falling asleep faster as well as sleeping better and for longer.The frames are made from cellulose acetate, BPA-free material making them strong and light-weight.Spring hinges offer a wide range of movement for extra comfort and durability.The prescription grade lenses and anti-reflective coatings offer superior visual clarity and protection against blue light.Choose from Tortoise Shell in Small, Medium or Large sizes.",79,Home > Sleep Health > Glasses > Swannies Night Glasses - Tortoise Shell,https://shop.resmed.com.au/swannies-night-glasses-tortoise-shell/,True,0,0
Sleep Health,,Swannies Night Glasses - Classic Black,"Classic black unisex glasses to block blue-light at night time to help improve your sleep.
Blue light exposure at night from screens can increase your alertness at bedtime.Wear Swannies for 1-3 hours before bed and you can look forward to falling asleep faster as well as sleeping better and for longer.The frames are made from cellulose acetate, BPA-free material making them strong and light-weight.Spring hinges offer a wide range of movement for extra comfort and durability.The prescription grade lenses and anti-reflective coatings offer superior visual clarity and protection against blue light.Choose from Small, Medium or Large sizes.",79,Home > Sleep Health > Glasses > Swannies Night Glasses - Classic Black,https://shop.resmed.com.au/swannies-night-glasses/,True,5,1
Sleep Apnea,SKU:38816,ResMed AirMini™ Filters (12 Pack),"Keep fine dust and other particles out of your AirMini device with this 12 pack of disposable filters.
Keep your AirMini device clean by using these filters to block fine materials and larger particles from entering your machine.Sold as a pack of 12 filters. These standard air filters are only suitable for use with the ResMed AirMini device.One side of the filter blocks fine particles such as dust and the other blocks larger matter, like hair.These filters are disposable and aren't suitable for washing.",29.9,Home > Sleep Apnea > CPAP Accessories > CPAP Filters > ResMed AirMini™ Filters (12 Pack),https://shop.resmed.com.au/resmed-airmini-filters-12-pack/,False,4.9,11
Sleep Apnea,SKU:19729,ResMed AirSense™ 10 Filter Cover,"Replacement filter cover for the ResMed AirSense 10 CPAP machine.
This filter cover is only compatible for the ResMed AirSense 10 series of machines.",9.95,Home > Sleep Apnea > CPAP Accessories > CPAP Machine Parts > ResMed AirSense™ 10 Filter Cover,https://shop.resmed.com.au/resmed-airsense-10-filter-cover/,False,4.8,5
Sleep Apnea,SKU:38840,ResMed AirMini™ Premium Carry Bag,"This stylish premium carry bag for your ResMed AirMini is spacious enough to fit your AirMini machine, your choice of compatible mask, the tubing and much more!
This stylish carry bag makes travelling with your ResMed AirMini a breeze. The premium carry bag is spacious enough to fit your AirMini machine, your choice of an AirMini compatible mask, the tubing and much more! You can even squeeze in your mobile device too. The carry bag will hold all the components you need to make your AirMini solution work, to achieve the best therapy for you. All you need is your machine, mask and tubing, and you're on your way to getting the rest you deserve.",90,Home > Sleep Apnea > CPAP Accessories > CPAP Bags > ResMed AirMini™ Premium Carry Bag,https://shop.resmed.com.au/resmed-airmini-premium-carry-bag/,False,4.8,5
Sleep Apnea,SKU:38841,ResMed AirMini™ Hard Case,"Protect your ResMed AirMini device when you travel with this rigid carry case.
Protect your ResMed AirMini device with this rigid grey carry case. It even fits into the Premium carry bag!It's convenient and useful when travelling as it is just the right fit for any suitcase.Only available for the AirMini device.",50,Home > Sleep Apnea > CPAP Accessories > CPAP Bags > ResMed AirMini™ Hard Case,https://shop.resmed.com.au/resmed-airmini-hard-case/,False,2,1
Sleep Apnea,SKU:19768,ResMed AirSense™ 10 for Her Filter Cover,"Replacement filter cover for ResMed AirSense 10 for Her CPAP machine.
ResMed For Her Filter Cover. Compatible with the ResMed AirSense 10 for Her CPAP machine.",9.95,Home > Sleep Apnea > CPAP Accessories > CPAP Machine Parts > ResMed AirSense™ 10 for Her Filter Cover,https://shop.resmed.com.au/resmed-airsense-10-for-her-filter-cover/,False,5,1
Sleep Apnea,SKU:37378,"ResMed AirSense™ 10, AirCurve™ 10 and Lumis™ SD Card","Recommended SD card for use with your AirSense 10 CPAP machine.
The ResMed SD cards easily stores 365 days of usage data, 30 days of detailed data, and seven days of high-resolution data.ResMed supply SD cards for your devices that meet required safety standards.These SD cards are supplied with your therapy machine or can be purchased here separately.",19.95,"Home > Sleep Apnea > CPAP Accessories > Data Management > ResMed AirSense™ 10, AirCurve™ 10 and Lumis™ SD Card",https://shop.resmed.com.au/resmed-airsense-10-sd-card/,False,4,2
Sleep Apnea,SKU:37335,ResMed AirSense™ 10 for Her Side Cover - Grey,"This grey side cover for the ResMed AirSense for Her 10 can be used in place of the humidifier when you're travelling.
If you are traveling and would like to use your AirSense 10 for Her machine without the humidifier, this is the perfect accessory to use! The AirSense 10 for Her side cover can be used in place of the humidifier so you can continue your therapy hassle-free.",29.95,Home > Sleep Apnea > CPAP Accessories > CPAP Machine Parts > ResMed AirSense™ 10 for Her Side Cover - Grey,https://shop.resmed.com.au/resmed-airsense-10-for-her-side-cover-grey/,False,5,1
Sleep Apnea,SKU:37303,ResMed AirSense™ 10 Side Cover - Charcoal,"This charcoal coloured side cover for the AirSense 10 can be used in place of the humidifier when you're travelling.
If you are traveling and would like to use your AirSense 10 machine without the humidifier, this is the perfect accessory to use! The charcoal coloured side cover can be used in place of the humidifier so you can continue your therapy hassle-free.",29.95,Home > Sleep Apnea > CPAP Accessories > CPAP Machine Parts > ResMed AirSense™ 10 Side Cover - Charcoal,https://shop.resmed.com.au/resmed-airsense-10-side-cover-charcoal/,False,4.8,16
Sleep Apnea,SKU:38845,ResMed P10 Connector for AirMini™,"The AirMini P10 connector enables you to connect your ResMed AirFit™ P10 or AirFit P10 for Her mask to the ResMed AirMini CPAP machine. It includes the AirMini compatible AirFit P10 frame and vent only. AirMini tubing is not included.
",80,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Parts > ResMed P10 Connector for AirMini™,https://shop.resmed.com.au/resmed-p10-connector-for-airmini/,False,4.8,5
Sleep Apnea,SKU:7078905,ResMed Pure Liquid Soap,"
",7.7,Home > Sleep Apnea > CPAP Accessories > CPAP Cleaning > ResMed Pure Liquid Soap,https://shop.resmed.com.au/resmed-pure-liquid-soap/,False,4.9,9
Sleep Apnea,SKU:37304,ResMed AirSense™ 10 Travel Bag,"Take your therapy with you using the portable and classy AirSense 10 Travel Bag.
Take your therapy with you using the portable and classy AirSense 10 Travel Bag.Designed to fit your machine, humidifier, tubes, mask of choice, power supply and cleaning accessories.Now you can take your machine where-ever you go and not have to worry about missing out on your nightly therapy!",49.95,Home > Sleep Apnea > CPAP Accessories > CPAP Bags > ResMed AirSense™ 10 Travel Bag,https://shop.resmed.com.au/resmed-airsense-10-travel-bag/,False,5,3
Sleep Apnea,SKU:24964,ResMed Power Station II Battery Coupler Kit,"Double your CPAP machine's run time with this battery coupler kit.
This battery coupler kit helps you to connect two ResMed Power Station II batteries together so they can be used simultaneously to power your ResMed CPAP machine to double the run time.ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL. ",120,Home > Sleep Apnea > CPAP Accessories > Batteries and Power > ResMed Power Station II Battery Coupler Kit,https://shop.resmed.com.au/resmed-battery-connector-for-powerstation-ii/,False,0,0
Sleep Apnea,,ResMed AirTouch™ N20 Starter Pack,"This starter pack contains 1 x AirTouch N20 nasal mask system and 2 x UltraSoft™ memory foam cushions (3 months' supply).
Description:ResMed's AirTouch N20, with its UltraSoft memory foam cushion, is our softest nasal mask ever. It's designed to offer unprecedented mask comfort and ease-of-use.Key featuresSize optionsAirTouch N20 GuidesALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",199,Home > Sleep Apnea > CPAP Masks > Nasal Masks > ResMed AirTouch™ N20 Starter Pack,https://shop.resmed.com.au/resmed-airtouch-n20-starter-pack/,False,4.4,9
Sleep Apnea,,ResMed AirTouch™ N20 Cushion (3 Pack),"Pack of 3 x UltraSoft™ memory foam cushions for ResMed's AirTouch N20 or AirFit™ N20 nasal masks.
Description:AirTouch N20 nasal mask is designed to adapt to the unique contours of your face for an individualised and comfortable fit. Its memory foam also minimises contact pressure on your skin to help reduce the likelihood of skin irritation, soreness and red marks around the nasal bridge.The disposable AirTouch UltraSoft memory foam cushion should be replaced monthly to maintain optimum comfort.This pack includes 3 x UltraSoft memory foam cushions and can be used with the AirFit N20 nasal mask frame.Size optionsAirTouch N20 Guides",69,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > ResMed AirTouch™ N20 Cushion (3 Pack),https://shop.resmed.com.au/resmed-airtouch-n20-cushion-3-pack/,False,4.4,41
Sleep Apnea,,ResMed AirTouch™ N20 Mask Cushion (Single),"Replacement UltraSoft™ memory foam cushion for ResMed's AirTouch N20 nasal mask. This soft, breathable memory foam cushion is also compatible with the AirFit™ N20 nasal mask frame. Single cushion only.
Description: AirTouch N20 nasal mask brings a new level of comfort to Sleep Apnea therapy. Its replaceable cushion is designed to adapt to the unique contours of your face for an individualised and comfortable fit that’s also secure. Its memory foam also minimises contact pressure on your skin to help reduce the likelihood of skin irritation, soreness and red marks around the nasal bridge. For easy maintenance and optimum comfort, the AirTouch UltraSoft memory foam cushion is designed to be replaced monthly.Try out the UltraSoft memory foam cushion and experience the difference.Size options:AirTouch N20 Guides",29,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Cushions > ResMed AirTouch™ N20 Mask Cushion (Single),https://shop.resmed.com.au/resmed-airtouch-n20-mask-cushion-single/,False,4.1,7
Sleep Apnea,SKU:38010,AirMini™ F30 Setup Pack (No Mask),"This setup pack enables you to connect your ResMed AirFit™ F30 mask to the ResMed AirMini CPAP machine. It includes an AirMini F20/F30 connector and flexible AirMini tubing.
ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",60,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Parts > AirMini™ F30 Setup Pack (No Mask),https://shop.resmed.com.au/airmini-f30-setup-pack-no-mask/,False,4,1
Sleep Apnea,SKU:38011,AirMini™ F20 Setup Pack (No Mask),"This setup pack enables you to connect your ResMed AirFit™ F20 or AirTouch™ F20 mask to the ResMed AirMini CPAP machine. It includes an AirMini F20/F30 Connector, HumidX™ F20 and flexible AirMini tubing.
ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",67.5,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Parts > AirMini™ F20 Setup Pack (No Mask),https://shop.resmed.com.au/airmini-f20-setup-pack-no-mask/,False,4.8,4
Sleep Apnea,SKU:38012,HumidX™ F20 (3 Pack),"3 pack of HumidX capsules for AirFit™ F20 or AirTouch™ F20 full face masks. Each one provides waterless humidification when used with a ResMed AirMini™ CPAP machine.
Description:HumidX heat moisture exchangers (HME) are designed to provide you with waterless humidification when you're using therapy.They work by capturing heat and moisture within tiny paper ridges when you exhale. They then release this heat and moisture to humidify the air when you inhale.Each pack contains 3 HumidX F20 capsules for use.ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",35,Home > Sleep Apnea > CPAP Accessories > Humidifiers > HumidX™ F20 (3 Pack),https://shop.resmed.com.au/humidx-f20-3-pack/,False,3.5,4
Sleep Apnea,SKU:38013,HumidX™ F20 (6 Pack),"6 pack of HumidX capsules for AirFit™ F20 or AirTouch™ F20 full face masks. Each one provides waterless humidification when used with a ResMed AirMini™ CPAP machine.
Description:HumidX heat moisture exchangers (HME) are designed to provide you with waterless humidification when you're using therapy.They work by capturing heat and moisture within tiny paper ridges when you exhale. They then release this heat and moisture to humidify the air when you inhale.Each pack contains 6 HumidX F20 capsules for use.ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",59,Home > Sleep Apnea > CPAP Accessories > Humidifiers > HumidX™ F20 (6 Pack),https://shop.resmed.com.au/humidx-f20-6-pack/,False,4.4,12
Sleep Apnea,SKU:38878,AirFit™ N30 for AirMini™ Mask Pack,"This ResMed AirFit N30 mask is compatible with your ResMed AirMini CPAP machine. This pack includes HumidX heat and moisture exchangers for waterless humidification, AirMini flexible tubing and an AirFit N30 for AirMini mask.
Description:AirFit N30 is a CPAP mask that is designed to fit your lifestyle. It's ResMed's lightest mask ever* and features a soft, curved nasal cradle cushion and adjustable QuickFit™ elastic slip-on headgear. It includes three cushion sizes, SW, S and M, for your convenience.Key features:AirFit N30 for AirMini guides:",310,Home > Sleep Apnea > CPAP Masks > Nasal Cradle Masks > AirFit™ N30 for AirMini™ Mask Pack,https://shop.resmed.com.au/airfit-n30-for-airmini-mask-pack/,True,3.7,3
Sleep Apnea,SKU:38880,ResMed N30 Connector for AirMini™,"The N30 connector enables you to connect your ResMed AirFit™ N30 nasal cradle mask to the ResMed AirMini CPAP machine. It includes the AirMini compatible AirFit N30 frame and vent only. AirMini tubing is not included.
",80,Home > Sleep Apnea > CPAP Accessories > CPAP Mask Parts > ResMed N30 Connector for AirMini™,https://shop.resmed.com.au/resmed-n30-connector-for-airmini/,False,3,3
Sleep Apnea,SKU:33963,ResMed Tubing Wrap,"A smooth, heat-retaining cover for your standard tube. Reduces rainout and minimises drag on your bedclothes and your mask to provide a more stable seal and a more comfortable experience.
ResMed's Tube Wrap is made from microfibre, has a soft, fleecy feel, and keeps the warmth in the tube from machine to mask, minimising """"rain out"""" on those cold nights.Why would I buy one?Tube Wrap maintains hose temperature above room temperature by insulating the hose, which reduces the amount of condensation within the tube.Tube Wrap cloth cover softens the contact between the skin and the tubingTube Wrap hides the """"medical"""" appearance of the CPAP tubing.Zipper and Velcro end seal keeps Tube Wrap in place and effective.ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",49.95,Home > Sleep Apnea > CPAP Accessories > Tubing > ResMed Tubing Wrap,https://shop.resmed.com.au/resmed-tubing-wrap/,False,4.6,8
Sleep Apnea,,BongoRx Replenishment Kit,"These are replacement nasal seals and are suitable if you have already used the Bongo Rx Starter Kit and are looking to replace your current nasal seals. Available in small, medium, large or extra large. Comes with 4 replacement cushions, case, head strap and drying standFor best results, it is recommended to replace these seals every 90 days to continue receiving the full benefits of the Bongo Rx.
",429,Home > Sleep Apnea > CPAP Alternatives > BongoRx Replenishment Kit,https://shop.resmed.com.au/bongorx-replenishment-kit/,False,3,3
Sleep Apnea,SKU:36810,ResMed SlimLine™ Tubing fits S9™ CPAP Machines,"Replacement slimline tube for the Resmed S9 series CPAP Machines
The SlimLine Tubing is one of our slimmest and most flexible tubes.It is designed to provide you with a seamless therapy experience by allowing you to move comfortably in your sleep.ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL. FAQ'sQ: Does this tubing also fit ResMed Elite S8 cpap machine? A: Yes it will.  Q: Can this Slimline Tube be connected to a F&P Eson Nasal Mask? A: Yes Q: Will this tube be suitable for the ResMed AirSense 10 elite? A: Yes, without a humidifier in use.",21,Home > Sleep Apnea > CPAP Accessories > Tubing > ResMed SlimLine™ Tubing fits S9™ CPAP Machines,https://shop.resmed.com.au/resmed-slimline-tubing-fits-s9-cpap-machines/,False,4.8,4
Sleep Apnea,SKU:36811,ResMed SlimLine™ Tubing Wrap,"This smooth, heat-retaining cover for your standard tube reduces rainout and minimises drag on your bedclothes and your mask.
The SlimLine Tubing Wrap is a smooth, heat-retaining cover for the air tube that helps to make your therapy more comfortable.The sleek cover reduces drag on your clothes and on your mask for a peaceful and relaxing night's sleep.ALWAYS READ THE LABEL AND FOLLOWS THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",49.95,Home > Sleep Apnea > CPAP Accessories > Tubing > ResMed SlimLine™ Tubing Wrap,https://shop.resmed.com.au/resmed-slimline-tubing-wrap/,False,0,0
Sleep Apnea,SKU:14994,ResMed Standard Tubing,"Standard, universal tubing with an inner diameter of 19 mm. Suitable for all ResMed CPAP therapy machines (except AirMini). Can also be used with machines from other manufacturers.
Our Standard Tubing is a non heated tube which can be used with all devices (except ResMed AirMini).ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",18,Home > Sleep Apnea > CPAP Accessories > Tubing > ResMed Standard Tubing,https://shop.resmed.com.au/resmed-standard-tubing/,False,4,5
Sleep Apnea,SKU:61528,ResMed Swift™ FX Mask Short Tubing Assembly,"Used to attach the tubing from your CPAP machine to your Swift FX mask. (Pack of one)
The short tube assembly is part of the Swift FX nasal mask.It is used to attach the tubing from your device to your mask.You can remove and replace the tube assembly from your mask by removing the ring from the cushion.Single pack.",69,Home > Sleep Apnea > CPAP Accessories > Tubing > ResMed Swift™ FX Mask Short Tubing Assembly,https://shop.resmed.com.au/resmed-swift-fx-short-tubing-assembly/,False,4,1
Sleep Apnea,SKU:36920,ResMed S9™ Power Supply Unit 30W,"A lightweight, convenient 30W power solution for your ResMed S9 machine when you're travelling.
The S9 30W power supply is a great choice if you want a lightweight, convenient power solution for your device when you're travelling.It's a small power supply suitable for any ResMed S9 series device that you are using, if you don't need to use an H5i Heated Humidifier.",29.95,Home > Sleep Apnea > CPAP Accessories > Batteries and Power > ResMed S9™ Power Supply Unit 30W,https://shop.resmed.com.au/resmed-s9-power-supply-unit-30w/,False,0,0
Sleep Apnea,SKU:24946,ResMed RPSII Power Supply Unit Adapter,"Connect your ResMed S9 CPAP machine to the Power Station II battery with this adapter.
",35,Home > Sleep Apnea > CPAP Accessories > Batteries and Power > ResMed RPSII Power Supply Unit Adapter,https://shop.resmed.com.au/resmed-rpsii-power-supply-unit-adapter/,False,0,0
Sleep Apnea,SKU:24952,ResMed RPSII Carry Bag,"An ideal carry bag for your Power Station II (external battery). It's perfect for travel!
An ideal carry bag for your Power Station II (external battery). It's perfect for travel!ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL.",60,Home > Sleep Apnea > CPAP Accessories > CPAP Bags > ResMed RPSII Carry Bag,https://shop.resmed.com.au/resmed-rpsii-carry-bag/,False,0,0
Sleep Apnea,SKU:36824,ResMed S9™ Power Supply Unit 90W,"The S9 90W power supply is an ideal for people using ResMed S9 machines with a Humidifier.
The S9 90W power supply is an ideal for people using ResMed S9 machines with a Humidifier.Q: Is this S9 Power Supply unit simply an uninterruptible power supply only to be used in conjunction with a regular AC (50 Hz 240 V) power supply? A: No, it is the basic power pack (mains to machine) required to run an S9 with a humidifier attached. An S9 not using a humidifier can use the 30w Power Supply unitQ: Is this part a 240 volt to 24 volt genuine ResMed power supply? A: Yes this is the genuine 90w ResMed power supply required to power both the machine and humidifierQ: Will this S9 Power Supply unit work in India? A: This is a power supply unit with an Australian plug configuration. In another country you would need to convert the plug configuration, however, this change would not affect the operation of the unit as it automatically works between 110v and 240v.",59.95,Home > Sleep Apnea > CPAP Accessories > Batteries and Power > ResMed S9™ Power Supply Unit 90W,https://shop.resmed.com.au/resmed-s9-power-supply-unit-90w/,False,4.7,3
Sleep Apnea,SKU:37342,ResMed PSU Adapter for AirSense™ 10,"Connect your ResMed AirSense device with the Power Station II for recharging.
",31,Home > Sleep Apnea > CPAP Accessories > Batteries and Power > ResMed PSU Adapter for AirSense™ 10,https://shop.resmed.com.au/resmed-psu-adapter-for-airsense-10/,False,0,0
Sleep Apnea,SKU:31336,ResScan™ Version 6.1 Software,"ResScan is a computer-based data management software (CD). It is intended to be used by Clinicians in conjunction with ResMed compatible therapy devices, using ResMed's proprietary communications protocol.
ResScan is a computer-based (CD) data management software. It takes a deeper look into your therapy performance using statistics and graphs allowing you to review your therapy breath-by-breath in order to better understand your progress.ResScan 6.1 is compatible with most devices and the data can be collected via the Data Card or USB, depending on the device you are using.Note: Only one can be purchased.ResMed ResScan Version 6.1 Software (sku: 31336) is the latest and followup version to ResMed ResScan Version 6.0.2 Software (sku: 31335)ALWAYS READ THE LABEL AND FOLLOW THE INSTRUCTIONS FOR USE. IF SYMPTOMS PERSIST, TALK TO YOUR HEALTHCARE PROFESSIONAL. ",29.99,Home > Sleep Apnea > CPAP Accessories > Data Management > ResScan™ Version 6.1 Software,https://shop.resmed.com.au/resscan-version-6-0-software/,False,3.2,20
